Indicator Reference Number,Indicator,Theme,Ward Name,Year,Survey Question,Sample Size,Statistic,Standard Error,Lower Confidence Limit,Upper Confidence Limit
IQOL17020,% who volunteer at a sports event/club,Community & Living,.Bristol Average,2018,Q17016,3505,8.992867437,0.612831064,7.861819305,10.26850035
IQOL17021,% who volunteer with other community e.g faith/church,Community & Living,.Bristol Average,2021,Q17016,3815,9.4,0.56062443,8.4,10.6
IQOL17021,% who volunteer with other community e.g faith/church,Community & Living,.Bristol Average,2015,Q12aiv,3977,13.1011367,0.6544629,11.87084014,14.43805203
IQOL17021,% who volunteer with other community e.g faith/church,Community & Living,.Bristol Average,2020,Q17016,4369,8.918436904,0.496198283,7.992535184,9.940012444
IQOL17021,% who volunteer with other community e.g faith/church,Community & Living,.Bristol Average,2019,Q17016,4023,12.27901821,0.62836142,11.09958374,13.56465604
IQOL17021,% who volunteer with other community e.g faith/church,Community & Living,.Bristol Average,2018,Q17016,3505,11.86544989,0.633307047,10.67925315,13.16398514
IQOL17021,% who volunteer with other community e.g faith/church,Community & Living,.Bristol Average,2017,Q17016,3260,15.00219326,0.730174704,13.62652935,16.49022244
IQOL17022,% who volunteer or help out in their community at least 3 times a year,Community & Living,.Bristol Average,2021,Q17017,3763,45.9,0.964060434,44,47.8
IQOL17022,% who volunteer or help out in their community at least 3 times a year,Community & Living,.Bristol Average,2019,Q17017,3968,47.63012508,0.951356238,45.7696292,49.49722163
IQOL17022,% who volunteer or help out in their community at least 3 times a year,Community & Living,.Bristol Average,2017,Q17017,3186,58.03168506,1.111147022,55.83955345,60.19257393
IQOL17022,% who volunteer or help out in their community at least 3 times a year,Community & Living,.Bristol Average,2015,Q12b,3909,47.56,0.91,45.79,49.34
IQOL17022,% who volunteer or help out in their community at least 3 times a year,Community & Living,.Bristol Average,2020,Q17017,4299,47.24267045,0.883957089,45.51412369,48.97785354
IQOL17022,% who volunteer or help out in their community at least 3 times a year,Community & Living,.Bristol Average,2018,Q17017,3334,43.33872827,0.96978301,41.44864274,45.24839611
IQOL17023,% who lack the time to get involved in their community,Community & Living,.Bristol Average,2020,Q17018,4329,58.44449459,0.846311461,56.77675367,60.09311581
IQOL17023,% who lack the time to get involved in their community,Community & Living,.Bristol Average,2018,Q17018,3488,62.53217955,0.904682226,60.74288571,64.28786689
IQOL17023,% who lack the time to get involved in their community,Community & Living,.Bristol Average,2019,Q17018,3993,62.92858666,0.88101363,61.18591857,64.63823189
IQOL17023,% who lack the time to get involved in their community,Community & Living,.Bristol Average,2017,Q17018,3245,63.92317363,1.00145182,61.93800101,65.86187432
IQOL17023,% who lack the time to get involved in their community,Community & Living,.Bristol Average,2021,Q17018,3802,61.7,0.85571977,60,63.4
IQOL17024,% whose money problems stop them from getting involved in their community,Community & Living,.Bristol Average,2017,Q17018,3245,12.55677333,0.731004775,11.19259177,14.06089925
IQOL17024,% whose money problems stop them from getting involved in their community,Community & Living,.Bristol Average,2020,Q17018,4348,7.257050749,0.510608214,6.317692196,8.323669977
IQOL17024,% whose money problems stop them from getting involved in their community,Community & Living,.Bristol Average,2018,Q17018,3501,9.740167598,0.611902748,8.604947261,11.0071166
IQOL17024,% whose money problems stop them from getting involved in their community,Community & Living,.Bristol Average,2019,Q17018,4006,8.980687652,0.57552372,7.914694242,10.17439148
IQOL17024,% whose money problems stop them from getting involved in their community,Community & Living,.Bristol Average,2021,Q17018,3820,10.5,0.628313631,9.3,11.8
IQOL17025,% whose poor health stops them from getting involved in their community,Community & Living,.Bristol Average,2017,Q17018,3245,9.567698989,0.585914045,8.479312532,10.77933415
IQOL17025,% whose poor health stops them from getting involved in their community,Community & Living,.Bristol Average,2021,Q17018,3820,10.1,0.498859069,9.2,11.1
IQOL17025,% whose poor health stops them from getting involved in their community,Community & Living,.Bristol Average,2020,Q17018,4342,8.971222477,0.471599885,8.08880754,9.939490666
IQOL17025,% whose poor health stops them from getting involved in their community,Community & Living,.Bristol Average,2019,Q17018,4008,7.760941663,0.400446131,7.011524177,8.583066171
IQOL17025,% whose poor health stops them from getting involved in their community,Community & Living,.Bristol Average,2018,Q17018,3500,9.372931385,0.516252196,8.408872371,10.43492537
IQOL17026,% who lack the information to get involved in their community,Community & Living,.Bristol Average,2020,Q17018,4333,30.53002402,0.835806414,28.91690415,32.19237743
IQOL17026,% who lack the information to get involved in their community,Community & Living,.Bristol Average,2018,Q17018,3495,28.57878583,0.895781304,26.85586325,30.36635286
IQOL17026,% who lack the information to get involved in their community,Community & Living,.Bristol Average,2017,Q17018,3245,28.23602161,0.937310467,26.43565079,30.10882128
IQOL17026,% who lack the information to get involved in their community,Community & Living,.Bristol Average,2021,Q17018,3812,30.8,0.922089104,29,32.6
IQOL17026,% who lack the information to get involved in their community,Community & Living,.Bristol Average,2019,Q17018,4001,27.80154313,0.826247506,26.21143902,29.44961102
IQOL17027,% for whom benefit rules stop them from getting involved in their community,Community & Living,.Bristol Average,2019,Q17018,4009,1.373303967,0.206866592,1.021655608,1.843733193
IQOL17027,% for whom benefit rules stop them from getting involved in their community,Community & Living,.Bristol Average,2017,Q17018,3245,1.963913448,0.299600313,1.455168898,2.645745915
IQOL17027,% for whom benefit rules stop them from getting involved in their community,Community & Living,.Bristol Average,2021,Q17018,3821,1.1,0.184314824,0.8,1.5
IQOL17027,% for whom benefit rules stop them from getting involved in their community,Community & Living,.Bristol Average,2020,Q17018,4349,1.188301276,0.205423768,0.846264667,1.666256435
IQOL17027,% for whom benefit rules stop them from getting involved in their community,Community & Living,.Bristol Average,2018,Q17018,3501,1.644909137,0.256486636,1.210894065,2.230973106
IQOL17028,% for whom accessibility issues stop them from getting involved in their community,Community & Living,.Bristol Average,2017,Q17018,3245,2.589153472,0.333363622,2.010115954,3.329322371
IQOL17028,% for whom accessibility issues stop them from getting involved in their community,Community & Living,.Bristol Average,2019,Q17018,4009,1.769636704,0.21750191,1.390121972,2.250397559
IQOL17028,% for whom accessibility issues stop them from getting involved in their community,Community & Living,.Bristol Average,2021,Q17018,3824,1.9,0.233125739,1.5,2.4
IQOL17028,% for whom accessibility issues stop them from getting involved in their community,Community & Living,.Bristol Average,2018,Q17018,3501,2.137682328,0.276396834,1.658067036,2.752149406
IQOL17028,% for whom accessibility issues stop them from getting involved in their community,Community & Living,.Bristol Average,2020,Q17018,4349,1.782908003,0.229848392,1.384075969,2.293993119
IQOL17029,% who say nothing prevents them from leaving their home when they want to,Community & Living,.Bristol Average,2018,Q17019,3432,59.34294159,0.965478208,57.437619,61.22055755
IQOL17029,% who say nothing prevents them from leaving their home when they want to,Community & Living,.Bristol Average,2019,Q17019,3980,62.93993276,0.908912763,61.141565,64.70311967
IQOL17029,% who say nothing prevents them from leaving their home when they want to,Community & Living,.Bristol Average,2017,Q17019,3187,69.18315526,0.954838865,67.28085956,71.02248593
IQOL17029,% who say nothing prevents them from leaving their home when they want to,Community & Living,.Bristol Average,2020,Q17019,4331,46.7792009,0.89114569,45.03720604,48.52908283
IQOL17029,% who say nothing prevents them from leaving their home when they want to,Community & Living,.Bristol Average,2015,Q23ai,3849,74.00044962,0.784405858,72.43380164,75.50816704
IQOL17029,% who say nothing prevents them from leaving their home when they want to,Community & Living,.Bristol Average,2021,Q17019,3714,52.1,0.987021007,50.2,54.1
IQOL17030,% whose fear of crime prevents them from leaving their home when they want to,Crime & Safety,.Bristol Average,2017,Q17019,3187,7.962908251,0.566451695,6.921005257,9.146248929
IQOL17030,% whose fear of crime prevents them from leaving their home when they want to,Crime & Safety,.Bristol Average,2021,Q17019,3714,12.5,0.636903994,11.3,13.8
IQOL17030,% whose fear of crime prevents them from leaving their home when they want to,Crime & Safety,.Bristol Average,2020,Q17019,4331,7.159415123,0.487469079,6.260856078,8.175687825
IQOL17030,% whose fear of crime prevents them from leaving their home when they want to,Crime & Safety,.Bristol Average,2015,Q23aii,3849,4.997142441,0.395617036,4.276318483,5.832067064
IQOL17030,% whose fear of crime prevents them from leaving their home when they want to,Crime & Safety,.Bristol Average,2018,Q17019,3432,7.779547782,0.513571897,6.830709926,8.84767022
IQOL17030,% whose fear of crime prevents them from leaving their home when they want to,Crime & Safety,.Bristol Average,2019,Q17019,3980,7.781887203,0.50462211,6.848608647,8.830290099
IQOL17032,% for whom inaccessible public transport prevents them from leaving their home when they want to,Transport,.Bristol Average,2017,Q17019,3187,6.590509765,0.479560756,5.710598802,7.595079712
IQOL17032,% for whom inaccessible public transport prevents them from leaving their home when they want to,Transport,.Bristol Average,2019,Q17019,3980,10.68828869,0.611350385,9.547816714,11.94699523
IQOL17032,% for whom inaccessible public transport prevents them from leaving their home when they want to,Transport,.Bristol Average,2018,Q17019,3432,13.85213093,0.709229883,12.51965469,15.3016178
IQOL17032,% for whom inaccessible public transport prevents them from leaving their home when they want to,Transport,.Bristol Average,2015,Q23aiv,3849,5.883278928,0.449521844,5.061627173,6.828715434
IQOL17032,% for whom inaccessible public transport prevents them from leaving their home when they want to,Transport,.Bristol Average,2020,Q17019,4331,9.079364523,0.555686202,8.047429825,10.22890568
IQOL17032,% for whom inaccessible public transport prevents them from leaving their home when they want to,Transport,.Bristol Average,2021,Q17019,3714,11.8,0.639087719,10.6,13.1
IQOL17033,% whose lack of support and assistance prevents them from leaving their home when they want to,Health & Wellbeing,.Bristol Average,2021,Q17019,3714,2.9,0.304468318,2.3,3.5
IQOL17033,% whose lack of support and assistance prevents them from leaving their home when they want to,Health & Wellbeing,.Bristol Average,2018,Q17019,3432,2.347102913,0.295061144,1.833286257,3.0005257
IQOL17033,% whose lack of support and assistance prevents them from leaving their home when they want to,Health & Wellbeing,.Bristol Average,2020,Q17019,4331,2.136234463,0.266817072,1.671354982,2.726832136
IQOL17033,% whose lack of support and assistance prevents them from leaving their home when they want to,Health & Wellbeing,.Bristol Average,2017,Q17019,3187,1.914889409,0.283023456,1.432215221,2.556012543
IQOL17033,% whose lack of support and assistance prevents them from leaving their home when they want to,Health & Wellbeing,.Bristol Average,2019,Q17019,3980,1.907157245,0.2627677,1.454868133,2.496491826
IQOL17033,% whose lack of support and assistance prevents them from leaving their home when they want to,Health & Wellbeing,.Bristol Average,2015,Q23av,3849,1.627028178,0.227119757,1.236875326,2.137584984
IQOL17034,% whose financial circumstances prevent them from leaving their home when they want to,Community & Living,.Bristol Average,2020,Q17019,4331,9.366039243,0.546914941,8.347692155,10.4943914
IQOL17034,% whose financial circumstances prevent them from leaving their home when they want to,Community & Living,.Bristol Average,2021,Q17019,3714,8.9,0.568774197,7.9,10.1
IQOL17034,% whose financial circumstances prevent them from leaving their home when they want to,Community & Living,.Bristol Average,2019,Q17019,3980,11.74293985,0.63064728,10.56214728,13.03649752
IQOL17034,% whose financial circumstances prevent them from leaving their home when they want to,Community & Living,.Bristol Average,2018,Q17019,3432,13.37579189,0.712319978,12.04020087,14.83455048
IQOL17034,% whose financial circumstances prevent them from leaving their home when they want to,Community & Living,.Bristol Average,2017,Q17019,3187,8.915814846,0.608558299,7.792823674,10.18276416
IQOL17034,% whose financial circumstances prevent them from leaving their home when they want to,Community & Living,.Bristol Average,2015,Q23avi,3849,8.29882414,0.533093808,7.312010425,9.405302215
IQOL17037,% whose caring responsibilities prevent them from leaving their home when they want to,Health & Wellbeing,.Bristol Average,2021,Q17019,3714,3.2,0.301093792,2.7,3.9
IQOL17037,% whose caring responsibilities prevent them from leaving their home when they want to,Health & Wellbeing,.Bristol Average,2020,Q17019,4331,3.482244175,0.296670784,2.945319259,4.112901382
IQOL17037,% whose caring responsibilities prevent them from leaving their home when they want to,Health & Wellbeing,.Bristol Average,2019,Q17019,3980,3.196876592,0.333474387,2.60406811,3.919205766
IQOL17037,% whose caring responsibilities prevent them from leaving their home when they want to,Health & Wellbeing,.Bristol Average,2017,Q17019,3187,5.81209559,0.498465165,4.908740503,6.869685031
IQOL17037,% whose caring responsibilities prevent them from leaving their home when they want to,Health & Wellbeing,.Bristol Average,2018,Q17019,3432,3.770671381,0.357428422,3.129344789,4.53727504
IQOL17037,% whose caring responsibilities prevent them from leaving their home when they want to,Health & Wellbeing,.Bristol Average,2015,Q23aix,3849,4.627631811,0.402287007,3.90005979,5.483190896
IQOL17038,% for whom parking issues prevents them from leaving their home when they want to,Transport,.Bristol Average,2019,Q17019,3980,18.17012458,0.751463164,16.74340812,19.68966156
